Date,Close/Last,Volume,Open,High,Low
03/19/2021,38.33,1257341,38.79,39.282,37.83
03/18/2021,38.81,2535619,40.66,40.78,38.60
03/17/2021,42.40,1618023,41.31,43.02,40.44
03/16/2021,42.47,2136639,42.32,43.60,41.8433
03/15/2021,41.49,1307142,40.25,41.53,39.77
03/12/2021,40.20,1383358,39.61,40.20,38.80
03/11/2021,41.04,1633676,40.22,41.78,40.0802
03/10/2021,38.59,2007402,40.37,40.3769,38.47
03/09/2021,39.06,2176112,37.95,39.73,37.78
03/08/2021,35.50,2448135,38.13,38.64,35.35
03/05/2021,38.27,2778899,37.44,38.52,34.60
03/04/2021,36.20,4200747,38.46,39.24,34.75
03/03/2021,38.73,1985233,41.34,41.6878,38.64
03/02/2021,41.86,1208076,44.17,44.24,41.78
03/01/2021,43.914,2269050,42.171,44.078,41.4458
02/26/2021,40.239,2994720,40.71,41.9509,39.088
02/25/2021,39.601,3925270,42.988,43.812,39.00
02/24/2021,44.208,2622550,41.366,44.274,40.3545
02/23/2021,42.266,4683060,40.619,42.982,38.379
02/22/2021,42.644,3043600,43.961,44.366,42.532
02/19/2021,45.585,2185100,46.591,46.654,45.00
02/18/2021,45.872,2179660,44.963,45.989,44.071
02/17/2021,46.478,2057540,46.477,46.7914,45.10
02/16/2021,47.875,1626890,48.781,48.9433,47.451
02/12/2021,48.273,1433360,47.201,48.303,46.80
02/11/2021,47.506,1620490,46.856,47.60,46.442
02/10/2021,45.968,2137760,46.792,46.946,44.8664
02/09/2021,46.186,1154970,45.994,46.873,45.978
02/08/2021,46.387,1509330,45.525,46.419,45.33
02/05/2021,45.00,1632750,45.677,45.70,44.65
02/04/2021,45.211,1406720,44.001,45.263,43.607
02/03/2021,43.284,1739960,44.027,44.20,42.901
02/02/2021,43.668,1655850,43.192,44.017,43.0262
02/01/2021,42.011,2402590,40.399,42.525,39.5503
01/29/2021,39.077,4650890,41.403,41.84,38.3515
01/28/2021,42.078,2392130,42.178,44.0584,41.701
01/27/2021,41.536,3568350,43.18,43.7465,40.334
01/26/2021,44.031,1373910,44.30,44.511,43.50
01/25/2021,43.966,3056540,44.371,44.72,40.767
01/22/2021,42.814,1681370,42.80,43.468,42.648
01/21/2021,43.321,2382860,42.283,43.7348,41.80
01/20/2021,41.748,3009730,40.153,42.111,40.153
01/19/2021,39.418,1583950,38.692,39.569,38.322
01/15/2021,37.945,2253860,38.985,39.4379,37.75
01/14/2021,39.126,2007060,40.439,40.671,38.953
01/13/2021,40.20,1698680,39.561,40.545,39.40
